id,est_p_age_le_18,est_p_age_19_29,est_p_age_30_39,est_p_age_ge_40,est_p_gender_male,est_p_gender_female,est_p_is_org,est_p_is_non_org
1134093633873940500,0.3077,0.4697,0.1844,0.0381,0.6582,0.3418,0.0331,0.9669
1286655817417216e3,0.0526,0.0441,0.2596,0.6437,0.8672,0.1328,0.5287,0.4713
996503072112246800,0.1915,0.0883,0.2558,0.4643,0.8826,0.1174,0.6311,0.3689
39097328,0.0058,0.0067,0.2616,0.7259,0.9905,0.0095,0.6133,0.3867
1202611078087221200,0.0655,0.0115,0.1811,0.7419,0.6052,0.3948,0.4346,0.5654
610232402,0.2446,0.0775,0.1218,0.5561,0.8927,0.1073,0.5491,0.4509
491970780,0.0337,0.0071,0.1403,0.819,0.9163,0.0837,0.477,0.523
3344644287,0.1259,0.0485,0.2717,0.5539,0.9352,0.0648,0.9234,0.0766
2613848562,0.1284,0.1322,0.3853,0.354,0.9328,0.0672,0.2705,0.7295
1024956961,0.0113,0.0032,0.1308,0.8548,0.997,0.003,0.2793,0.7207
1.2793499788931359e+18,0.024,0.1686,0.2434,0.5641,0.927,0.073,0.0494,0.9506
1057995290198859800,0.5346,0.212,0.1704,0.083,0.8783,0.1217,0.2797,0.7203
1063140058541232100,0.1117,0.0377,0.4152,0.4354,0.8129,0.1871,0.8827,0.1173
1019518232598859800,0.5528,0.3386,0.0534,0.0552,0.5721,0.4279,0.2996,0.7004
952802131022630900,0.0277,0.0368,0.3988,0.5367,0.9437,0.0563,0.2475,0.7525
1034890332591349800,0.1155,0.0339,0.2382,0.61240000000000006,0.5224,0.4776,0.3978,0.6022
959139878947696600,0.038,0.0937,0.4587,0.4097,0.04,0.96,0.0733,0.9267
884749269126742e3,0.0507,0.0105,0.3087,0.6301,0.9763,0.0237,0.8387,0.1613
46888729,0.0309,0.0294,0.2818,0.6578,0.3689,0.6311,0.8531,0.1469
1169352079707713500,0.0288,0.0318,0.7233,0.2162,0.3995,0.6005,0.6821,0.3179
4376642176,0.1757,0.059,0.1561,0.6092,0.9293,0.0707,0.7253,0.2747
743782377080688600,0.0892,0.7072,0.1748,0.0288,0.9565,0.0435,0.022,0.978
576331359,0.0424,0.0781,0.6736,0.2059,0.9818,0.0182,0.0988,0.9012
22247998,0.0796,0.0654,0.2276,0.6274,0.9663,0.0337,0.2963,0.7037
1867640504,0.1855,0.1408,0.4028,0.2708,0.9424,0.0576,0.1106,0.8894
1227225568518774800,0.4045,0.3041,0.187,0.1044,0.9776,0.0224,0.299,0.701
825562028,0.2592,0.2588,0.2285,0.2535,0.5762,0.4238,0.0324,0.9676
559404995,0.0124,0.0095,0.3027,0.6754,0.9467,0.0533,0.4262,0.5738
1320288235,0.1056,0.1472,0.3486,0.3986,0.957,0.043,0.4854,0.5146
24681420,0.0302,0.0288,0.2399,0.7011,0.0858,0.9142,0.2622,0.7378
1070370082759589900,0.0022,0.0202,0.0628,0.9147,0.0125,0.9875,0.1997,0.8003
898481633640185900,0.0367,0.0923,0.7462,0.1249,0.9948,0.0052,0.0777,0.9223
2256784392,0.0499,0.0571,0.8124,0.0807,0.9941,0.0059,0.3204,0.6796
573653087,0.0137,0.013,0.1468,0.8265,0.99,0.01,0.3173,0.6827
1289767643872985e3,0.4899,0.1942,0.1463,0.1696,0.9066,0.0934,0.1318,0.8682
1120945842024845300,0.0129,0.0556,0.5557,0.3758,0.9495,0.0505,0.0327,0.9673
1299257050296471600,0.7393,0.036,0.0381,0.1867,0.9005,0.0995,0.2467,0.7533
78577207,0.0265,0.0157,0.2289,0.7289,0.9917,0.0083,0.2016,0.7984
90662657,0.2413,0.1945,0.4024,0.1618,0.9851,0.0149,0.5653,0.4347
1215581597401014300,0.2583,0.0471,0.3433,0.3513,0.9696,0.0304,0.4207,0.5793
1006584117994180600,0.2677,0.5244,0.1447,0.0632,0.9196,0.0804,0.061,0.939
22889447,0.1331,0.073,0.3512,0.4427,0.9754,0.0246,0.6578,0.3422
960330839602159600,0.0825,0.1969,0.4637,0.2569,0.981,0.019,0.1358,0.8642
65720323,0.2025,0.3537,0.2343,0.2095,0.8262,0.1738,0.1583,0.8417
1362495229,0.0432,0.116,0.2207,0.6201,0.9825,0.0175,0.2334,0.7666
1242214058,0.0029,0.0147,0.2338,0.7486,0.9752,0.0248,0.121,0.879
2474460494,0.3794,0.5078,0.0516,0.0611,0.8698,0.1302,0.0877,0.9123
1251111725153292300,0.1046,0.1113,0.6185,0.1656,0.9901,0.0099,0.1464,0.8536
903293116484112400,0.1004,0.1287,0.5821,0.1888,0.9052,0.0948,0.1937,0.8063
3326383323,0.0281,0.0438,0.3598,0.5683,0.0645,0.9355,0.415,0.585
2704366470,3e-4,0.0095,0.9745,0.0157,0.991,0.009,0.0286,0.9714
917323830,0.0047,0.0125,0.9094,0.0733,0.9977,0.0023,0.08,0.92
1114900756556124200,0.125,0.0571,0.3789,0.439,0.7566,0.2434,0.4753,0.5247
876355674518761500,0.017,0.0418,0.3702,0.5709,0.9396,0.0604,0.1446,0.8554
946670290448339e3,0.0655,0.0633,0.3152,0.556,0.5581,0.4419,0.4707,0.5293
1236591036329320400,0.0278,0.0977,0.273,0.6014,0.971,0.029,0.3697,0.6303
967023625420394500,0.1807,0.0424,0.2397,0.5372,0.815,0.185,0.7298,0.2702
908600117518897200,0.0384,0.1076,0.6439,0.2102,0.8355,0.1645,0.0523,0.9477
1009349415046406100,0.0918,0.1212,0.2218,0.5652,0.0725,0.9275,0.1769,0.8231
2758480082,0.0216,0.1544,0.259,0.565,0.9509,0.0491,0.1455,0.8545
772433124164853800,0.0146,0.0072,0.1352,0.843,0.9839,0.0161,0.2371,0.7629
900455415309373400,0.3789,0.1898,0.2875,0.1439,0.9812,0.0188,0.1259,0.8741
980411783428141e3,3e-4,0.0069,0.6503,0.3425,0.9968,0.0032,0.0614,0.9386
333265493,0.107,0.0457,0.3095,0.5379,0.5944,0.4056,0.532,0.468
3589335082,0.1787,0.2724,0.3419,0.207,0.1652,0.8348,0.0896,0.9104
2801360028,0.2547,0.1926,0.4124,0.1403,0.2883,0.7117,0.1849,0.8151
87880076582912e4,0.0408,0.1068,0.4636,0.3888,0.9915,0.0085,0.0734,0.9266
39713521,0.0813,0.0543,0.3866,0.4778,0.8029,0.1971,0.8378,0.1622
921101610662727700,0.1238,0.0246,0.2883,0.5632,0.995,0.005,0.0399,0.9601
816200336,0.3257,0.261,0.1575,0.2559,0.1365,0.8635,0.2073,0.7927
1080588375223083e3,0.4386,0.2845,0.2258,0.051,0.9583,0.0417,0.1158,0.8842
1404236724,0.1768,0.1987,0.3431,0.2815,0.9389,0.0611,0.1305,0.8695
1513001876,0.0134,0.0131,0.2996,0.6738,0.9895,0.0105,0.458,0.542
591091716,0.0489,0.2143,0.5736,0.1632,0.9684,0.0316,0.0853,0.9147
1038913029121953800,0.2031,0.1617,0.3515,0.2837,0.7491,0.2509,0.6781,0.3219
156093825,0.4611,0.269,0.1888,0.0811,0.9265,0.0735,0.1783,0.8217
705369465425420300,0.132,0.031,0.1958,0.6412,0.9403,0.0597,0.9052,0.0948
1091455281169600500,0.5998,0.2161,0.1369,0.0472,0.4894,0.5106,0.2795,0.7205
